lat_coords,lng_coords,city,country,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
-9.526154163624568,-41.201798581838545,casa nova,br,77.19,73,100,10.67,-11.77,-39.23
-22.402993124045253,-30.39716183557431,caravelas,br,81.06,100,0,17.83,-17.73,-39.27
63.40756050844513,-44.60889160284398,qaqortoq,gl,17.6,85,32,12.68,60.72,-46.03
-33.561567204045474,40.490489736588074,beloha,mg,75.44,89,32,3.06,-25.17,45.06
-22.100145080405426,92.62303730638354,labuhan,id,76.25,94,76,2.51,-2.54,115.51
60.45625909512117,162.00317464055792,ossora,ru,31.02,96,88,17.6,59.24,163.07
42.11603980147174,-64.45314471946611,shelburne,ca,4.73,77,75,6.93,44.08,-80.2
51.917931542232,133.92369416087968,sofiysk,ru,,,,,,
54.73697554524381,-174.52573127595753,provideniya,ru,14.69,100,76,3.18,64.42,-173.23
49.76186333554378,102.92607837117032,kholtoson,ru,-25.19,32,8,2.73,50.3,103.31
42.07642205166022,22.286784818231155,zletovo,mk,32,88,75,1.95,41.99,22.23
51.73597179716853,14.03434690084947,lubbenau,de,23,92,8,4.7,51.87,13.97
87.69009661230189,24.925603237907097,longyearbyen,sj,-4.01,76,20,8.05,78.22,15.64
19.890580255770118,-95.6320997608992,veracruz,mx,62.6,20,40,9.17,24.02,-103.93
31.974509600653576,-86.94396453559487,selma,us,63.32,41,75,2.95,36.57,-119.61
4.208988184460111,60.72191065394645,victoria,sc,80.6,88,80,9.17,-4.62,55.45
40.62030123055064,129.86260562864862,khasan,ru,16.8,91,0,11.79,42.43,130.64
82.2904281657475,-63.81593749046026,narsaq,gl,17.6,85,76,10.78,60.91,-46.05
-20.579572486197847,152.4218087039846,yeppoon,au,82.4,61,90,10.29,-23.13,150.74
55.723415744913495,142.84602026184655,okha,ru,-2.37,84,0,17.49,53.59,142.95
-14.47899732938518,164.2158973525306,luganville,vu,82.5,100,68,11.79,-15.51,167.18
38.73563364963081,29.01398983506303,simav,tr,29.31,81,88,2.06,39.09,28.98
-16.316590108592806,120.21713422894481,broome,au,87.8,66,0,9.17,-17.97,122.23
55.95381175613224,115.64134338273755,taksimo,ru,-2.51,43,44,1.5,56.36,114.84
-9.476593906997351,-84.47598124240511,pimentel,pe,75.2,78,75,21.92,-6.84,-79.94
46.97744038795767,83.5640256750221,zaysan,kz,-3.77,69,0,5.08,47.47,84.87
-61.23793490267171,133.17083380420223,new norfolk,au,73.4,38,75,10.29,-42.78,147.06
43.67597258760861,80.56083935395185,yining,cn,40.29,100,92,3.06,29.04,114.56
55.94751167711681,177.17649161142856,beringovskiy,ru,2.27,100,92,6.64,63.05,179.32
13.852753231914221,-34.97104112513537,porto novo,cv,69.8,60,40,14.99,17.02,-25.06
45.517092088392104,110.43388716152259,darhan,mn,11.54,46,0,10.78,49.49,105.92
63.44598988417161,-20.946377810071994,eyrarbakki,is,32,100,90,14.99,63.86,-21.15
7.8564706316389135,92.05551999647821,sabang,id,82.5,100,0,0.38,1.17,120.82
